"originCity","meanSatisfaction","observationCount","lat","lon","stateAbb","stateName"
"Aberdeen, SD",3.53333333333333,15,45.4649805,-98.487813,"SD","south dakota"
"Abilene, TX",3.42424242424242,66,32.44645,-99.7475905,"TX","texas"
"Adak Island, AK",2.66666666666667,3,51.7961654,-176.573491643196,"AK","alaska"
"Akron, OH",3.25,168,41.083064,-81.518485,"OH","ohio"
"Albany, GA",3.45,20,31.5782062,-84.1556809,"GA","georgia"
"Albany, NY",3.33928571428571,168,42.6511674,-73.754968,"NY","new york"
"Albuquerque, NM",3.42424242424242,561,35.0841034,-106.6509851,"NM","new mexico"
"Alexandria, LA",3.38028169014085,71,31.311248,-92.4449087,"LA","louisiana"
"Allentown/Bethlehem/Easton, PA",3.1025641025641,39,40.6511631,-75.442253868383,"PA","pennsylvania"
"Alpena, MI",3.4,20,45.0176181,-83.6670019,"MI","michigan"
"Amarillo, TX",3.3109756097561,164,35.2072185,-101.8338246,"TX","texas"
"Anchorage, AK",3.4984984984985,333,61.2163129,-149.8948523,"AK","alaska"
"Appleton, WI",3.45283018867925,53,44.2611337,-88.4067604,"WI","wisconsin"
"Arcata/Eureka, CA",3.22222222222222,72,40.859464,-124.05534120722,"CA","california"
"Asheville, NC",3.26865671641791,67,35.6009498,-82.5540161,"NC","north carolina"
"Aspen, CO",3.37383177570093,214,39.1911128,-106.8235606,"CO","colorado"
"Atlanta, GA",3.39700996677741,8428,33.7490987,-84.3901849,"GA","georgia"
"Augusta, GA",3.62121212121212,66,33.4709714,-81.9748429,"GA","georgia"
"Austin, TX",3.38984881209503,926,30.2711286,-97.7436995,"TX","texas"
"Bakersfield, CA",3.40449438202247,89,35.3738712,-119.0194639,"CA","california"
"Baltimore, MD",3.35652615540884,1969,39.2908816,-76.610759,"MD","maryland"
"Bangor, ME",3.5,14,29.0659229,-110.97133,"ME","maine"
"Barrow, AK",3.3,20,71.3864521,-156.4821312,"AK","alaska"
"Baton Rouge, LA",3.35858585858586,198,30.4459596,-91.18738,"LA","louisiana"
"Beaumont/Port Arthur, TX",3.54166666666667,24,29.901651,-93.974199,"TX","texas"
"Bellingham, WA",3.75,28,48.7544012,-122.4788361,"WA","washington"
"Bemidji, MN",3.76470588235294,17,47.4785418,-94.8907869,"MN","minnesota"
"Bend/Redmond, OR",3.40845070422535,71,44.2165084,-121.2150324,"OR","oregon"
