"originCity","meanSatisfaction","observationCount","stateAbb","stateName","verboseAddress","lat","lon"
"Aberdeen, SD",3.53333333333333,15,"SD","south dakota","Aberdeen, south dakota",45.4649805,-98.487813
"Abilene, TX",3.42424242424242,66,"TX","texas","Abilene, texas",32.44645,-99.7475905
"Akron, OH",3.25,168,"OH","ohio","Akron, ohio",41.083064,-81.518485
"Albany, GA",3.45,20,"GA","georgia","Albany, georgia",31.5782062,-84.1556809
"Albany, NY",3.33928571428571,168,"NY","new york","Albany, new york",42.6511674,-73.754968
"Albuquerque, NM",3.42424242424242,561,"NM","new mexico","Albuquerque, new mexico",35.0841034,-106.6509851
"Alexandria, LA",3.38028169014085,71,"LA","louisiana","Alexandria, louisiana",31.311248,-92.4449087
"Allentown/Bethlehem/Easton, PA",3.1025641025641,39,"PA","pennsylvania","Allentown/Bethlehem/Easton, pennsylvania",40.6511631,-75.442253868383
"Alpena, MI",3.4,20,"MI","michigan","Alpena, michigan",45.0176181,-83.6670019
"Amarillo, TX",3.3109756097561,164,"TX","texas","Amarillo, texas",35.2072185,-101.8338246
"Appleton, WI",3.45283018867925,53,"WI","wisconsin","Appleton, wisconsin",44.2611337,-88.4067604
"Arcata/Eureka, CA",3.22222222222222,72,"CA","california","Arcata/Eureka, california",40.859464,-124.05534120722
"Asheville, NC",3.26865671641791,67,"NC","north carolina","Asheville, north carolina",35.6009498,-82.5540161
"Aspen, CO",3.37383177570093,214,"CO","colorado","Aspen, colorado",39.1911128,-106.8235606
"Atlanta, GA",3.39700996677741,8428,"GA","georgia","Atlanta, georgia",33.7490987,-84.3901849
"Augusta, GA",3.62121212121212,66,"GA","georgia","Augusta, georgia",33.4709714,-81.9748429
"Austin, TX",3.38984881209503,926,"TX","texas","Austin, texas",30.2711286,-97.7436995
"Bakersfield, CA",3.40449438202247,89,"CA","california","Bakersfield, california",35.3738712,-119.0194639
"Baltimore, MD",3.35652615540884,1969,"MD","maryland","Baltimore, maryland",39.2908816,-76.610759
